QUESTION,BT LEVEL,BT LEVEL (REVISED)
Identify which country has an absolute advantage in the production of sugar cane and blue agave.,Knowledge,Remember
Suppose the two countries wish to specialize and trade. Specifically determine and explain which country enjoys comparative advantage in the production of sugar cane and blue agave. ,Application,Apply
"Draw Production Possibilities Frontier and Trading Possibilities Frontier for Argentina and Mexico.
",Comprehension,Understand
In order to reduce the international competition to protect some major sector of the economy. List and explain THREE (3) instruments that can use to protect our domestic industries. ,Comprehension,Understand
"Output and capital are increasing more rapidly than labour in the pharmaceutical industry. However, labour is increasing faster than capital and output in the agriculture industry. Evaluate the different in the output growth and productivity between these two industries.",Evaluation,Evaluate
Thailand currently experiences a 17% unemployment rate and the investors in the country are sensitive towards changes in the interest rate. Explain to your friend the policy to be taken by Central Bank of Thailand to achieve 3% of unemployment rate by using appropriate diagram(s). ,Comprehension,Understand
"Japan is operating above the potential output level. As a committee member of central bank, suggest a policy that should be implemented in order to restore Japan's potential output level. Using appropriate diagram(s), explain the effect of the policy on price and unemployment level in short run and long run. ",Synthesis,Create
Identify which country has an absolute advantage and comparative advantage in the production of pizza and cloth. ,Comprehension,Understand
Draw Production Possibilities Frontier and Trading Possibilities Frontier for Korea and Indonesia. ,Comprehension,Understand
Explain THREE (3) reasons why AD curve is downward sloping.,Comprehension,Understand
Calculate the equilibrium level of output for four sectors economy with taxes. ,Application,Apply
Calculate the balance of trade when the economy is at equilibrium. ,Application,Apply
"Using the open economy multiplier approach, calculate the new equilibrium output level and new balance of trade if the government decreases spending to RM 1200 million and increases tax by RM 300 million. ",Application,Apply
Describe the economic growth and FOUR (4) sources of economic growth. ,Knowledge,Remember
The unemployment problem can be overcome by increasing the aggregate output in a country. Explain THREE (3) multiplier concepts that can be applied in this problem. ,Application,Apply
Calculate the equilibrium level of income for this economy. ,Application,Apply
Calculate the balance of trade when the economy is at equilibrium and interpret the answer. ,Application,Apply
Calculate the level of output Japan needs to achieve in order to maintain a balanced trade account. ,Application,Apply
Determine the values of government multiplier and tax multiplier in open economy for Japan. Explain which multiplier has greater impact on the economy. ,Application,Apply
"Assume that an economy is initially below the natural rate of output, due to the stock market crash in 2008. Explain what policy the government can implement in order to return the output to the natural level by using appropriate diagram.",Comprehension,Understand
Define economic growth. List and explain how the public policies can promote economic growth. ,Comprehension,Understand
"The Malaysian economy is currently operating at the natural level of output. In order to be a high-income country in 2020, government of Malaysia decides to increase the government spending. Discuss the effects of the event on the price level, unemployment and output in the long run and short run in Malaysia with appropriate diagrams.",Comprehension,Understand
"Explain how currency depreciation will affect export, import and the balance of trade of the country. ",Analysis,Analyze
Explain how human capital can lead to economic growth. ,Comprehension,Understand
Define terms of trade and identify which country has an absolute advantage in the production of jade and diamond. ,Comprehension,Understand
Suppose the two countries wish to specialize and trade. Specifically determine and explain which country enjoys comparative advantage in the production of jade and diamond. ,Application,Apply
Corporate bond is a debt contract (indenture) that requires borrowers to make periodic payment of interest and repayment of principal at the end of maturity date. Explain the type of market for corporate bond. ,Comprehension,Understand
Discuss FOUR (4) factors affecting exchange rate in the long run.,Comprehension,Understand
Define Bank Capital and elaborate the functions of Bank Capital.,Comprehension,Understand
"A banker's acceptance (BA) is a promised future payment, or time draft, which is accepted and guaranteed by a bank and drawn on a deposit at the bank. The BA specifies the amount of money, the date, and the person to whom the payment is due. Draw and explain the sequence of a banker's acceptance transaction. ",Application,Apply
Describe THREE (3) advantages of the banker's acceptance towards either exporter or importer. ,Knowledge,Remember
Define and explain the THREE (3) steps of bringing a new security issue in primary market. ,Comprehension,Understand
List FIVE (5) differences between forward and future market. ,Knowledge,Remember
List and briefly describe FOUR (4) types of secondary equity markets. ,Knowledge,Remember
Explain FOUR (4) factors in the Globalization of Financial Markets. ,Comprehension,Understand
Describe the TWO (2) conditions that lead to bank failures. Provide the examples of bank failures that happened in the past with a specific time frame. ,Comprehension,Understand
Letter of credit is a written promises to pay third party on clients behalf. Explain the functions of commercial letter of credit and standby letter of credit. ,Comprehension,Understand
Give THREE (3) examples of common uses of standby letter of credit. ,Comprehension,Understand
Define solvency and liquidity. Give some simple strategies that banks can follow to avoid insolvency or illiquidity. State reasons banks might option not to adopt these strategies. ,Comprehension,Understand
List FIVE (5) major business activities of investment banks. ,Knowledge,Remember
"Municipal bonds are securities issued by local, county and state government. Identify THREE (3) types of Municipal Bonds that available in the market. ",Knowledge,Remember
Differentiate between repurchase agreement (repo) and reverse repurchase agreement. ,Analysis,Analyze
Discuss the actions of central bank towards monetary policy that will significantly influence Federal Funds Rate in short run. ,Comprehension,Understand
"A five-year, RM1,000 par value bond with a 6 percent semi-annual coupon is trading at current yield of 4 percent. Compute the duration of the bond. ",Application,Apply
"Based on your knowledge, describe TWO (2) foreign bonds that are well known in the market. ",Knowledge,Remember
Analyze THREE (3) factors that can affect the option premium. ,Analysis,Analyze
Briefly explain THREE (3) main sources of banks earnings.,Comprehension,Understand
Describe THREE (3) deposit liabilities for commercial banks. ,Knowledge,Remember
"New issues are called primary issues, that reflect to the first issued of security in the primary market. Elaborate the steps of bringing a new security to the market. ",Comprehension,Understand
The Glass-Steagall Act of 1933 (Banking Act) restricted the asset powers of commercial banks in US to low-risk underwriting areas. List FOUR (4) requirements under Glass-Steagall Act of 1933.,Knowledge,Remember
Briefly explain what a Repo is. ,Comprehension,Understand
Elaborate THREE (3) channels of the transmission process for monetary policy. ,Comprehension,Understand
Illustrate the effect of an expansionary monetary policy. Justify your answer with an appropriate diagram. ,Evaluation,Evaluate
Define federal fund market. Explain in detail its importance to a bank. ,Comprehension,Understand
Explain FOUR (4) types of unemployment.,Comprehension,Understand
"Compute the duration for a five-year bond, RM1,000 par value bond with a 7 percent annual coupon which is trading at yield to maturity of 5 percent. ",Application,Apply
Identify THREE (3) types of securities that are issued by Malaysian government. Explain each in detail. ,Comprehension,Understand
Discuss FOUR (4) economic roles of money market. ,Comprehension,Understand
The Glass-Steagall Act of 1933 and the Financial Services Modernization Act of 1999 created impact on commercial banks and investment banks in the US. Explain each act in detail. ,Comprehension,Understand
Explain FOUR (4) off-balance-sheet banking activities which are important but not recorded in a bank's balance sheet. ,Comprehension,Understand
"If the value of the bond is RM900 and coupon are paid semi-annually, compute the yield to maturity (YTM) and the current yield of the bond. Interpret your answers. ",Application,Apply
Explain the relationship between bond price and market interest rate using the bond pricing formula. ,Comprehension,Understand
"Differentiate bonds that are traded at par, premium and discount.",Analysis,Analyze
Illustrate by using appropriate diagram(s) the effects of the most commonly and the least used monetary policy tool on the market interest rate if the central bank implements the expansionary monetary policy.,Comprehension,Understand
Vince longs a put option on Junebank's stock with a strike price at RM13. Currently Junebank's stock is priced at RM15 and the option premium is RM1.50. Advise Vince whether or not to exercise the option. Justify your answer. ,Evaluation,Evaluate
"""The monetary policy is always useful in stimulating the economic growth by increasing the money supply in the market."" Comment on this statement. Support your answer with an appropriate diagram. ",Evaluation,Evaluate
“China has been practicing low exchange rate for previous decades.” Clarify the pros and cons under this practice. ,Analysis,Analyze
Explain the Securities Act of 1933 and the Securities Exchange Act of 1934. ,Comprehension,Understand
Differentiate between commercial letter of credit and standby letter of credit. ,Analysis,Analyze
Draw an expiry profit diagram for the GCB bank’s position. ,Comprehension,Understand
Explain the profit and loss for Alice and GCB bank. ,Comprehension,Understand
Elaborate FIVE (5) factors that will influence the demand and supply of a currency. ,Comprehension,Understand
"By using an appropriate diagram, explain how the open market operation (OMO) can put an upward pressure on the federal fund rate (FFR).",Comprehension,Understand
Banks act as an important institution in the financial system. Briefly explain what a bank run is and provide THREE (3) causes that lead to its occurrence. ,Comprehension,Understand
Explain what a junk bond is and its role in the financial market. ,Comprehension,Understand
Suggest and explain TWO (2) ways to measure a bank's profitability. ,Synthesis,Create
"""An increase in the money supply will lead to an increase in the market equilibrium interest rate.” Comment and justify the above statement with an appropriate diagram. ",Evaluation,Evaluate
Differentiate primary and secondary reserves of a bank. List THREE (3) examples for each reserve. ,Analysis,Analyze
“The US dollar hit its highest levels in years shortly after Donald Trump won the presidential election in November 2016.” The statement above refers to the strong dollar scenario. Explain the pros and cons under this scenario. ,Analysis,Analyze
Explain Eurocurrency and its market. ,Comprehension,Understand
Stock market serves as an important predictor of economic activities. Explain how the stock market values can predict real economic activity. ,Comprehension,Understand
Explain the differences between forward and futures contract. ,Comprehension,Understand
Discuss ONE (1) limitation and benefit of duration. ,Comprehension,Understand
"Justify the following statement: “The value of a putable bond is never greater than the value of an otherwise comparable option-free bond.""",Evaluation,Evaluate
"Define and discuss the Sharpe, Treynor, and Jensen measures of portfolio performance evaluation by identifying the situations in which each measure is the most appropriate measure. ",Application,Apply
Briefly explain FOUR (4) advantages and disadvantages of option trading. ,Comprehension,Understand
"The correlation between the S&P 500 index fund and the emerging market fund is zero. Consider portfolio A, which consists of 80% of the S&P index fund and 20% of the emerging-market fund. Calculate portfolio A's expected return and standard deviation. ",Application,Apply
Explain FOUR (4) benefits of mutual fund investment. ,Comprehension,Understand
Discuss the implications of Efficient Market Hypothesis for Technician (Chartist) and Fundamentalist. ,Comprehension,Understand
Consider a zero coupon bond with a par value of $1000 that has a current price of $436.19 and matures in 10 years. Compute its yield to maturity. ,Application,Apply
"Calculate Sharpe's measure for the AOV Portfolio and the market. Compare the TWO (2) measures, and assess the performance of the AOV's portfolio during the year just ended. ",Application,Apply
"Calculate Treynor's measure for AOV's Portfolio and the market. Compare the TWO (2) measures, and assess the performance of the AOV's portfolio during the year just ended. ",Application,Apply
Calculate Jensen's measure (Jensen's alpha). Use it to assess the performance of the AOV's Portfolio during the year just ended. ,Application,Apply
Describe characteristics and importance of secondary market.,Comprehension,Understand
"""Portfolio management strategies are different based on investor's risk preferences and expected return”. Based on above statement, briefly discuss TWO (2) major portfolio management strategies. ",Comprehension,Understand
Distinguish between stock dividend and stock split by providing one relevant example. ,Analysis,Analyze
The option's premium represents the price of the option that change over time. Discuss FOUR (4) factors that affecting premium of an option.,Comprehension,Understand
"""Trading strategies used by investors of futures and forwards markets help to maintain market efficiency"". Based on the above statement, Differentiate between all THREE (3) main trading strategy used by futures and forward markets' investors.. ",Analysis,Analyze
Define put-call parity. Discuss its implications and how arbitrageurs could take advantage of arbitrage opportunities for both options. ,Comprehension,Understand
Identify and elaborate FOUR (4) determinants of an option's premium.,Comprehension,Understand
Discuss THREE (3) differences between futures and forward contracts.,Comprehension,Understand
"Market anomalies are research findings that do not support market efficiency hypothesis; that is, they are evidence that inefficiencies do exist. Discuss FIVE (5) common market anomalies. ",Comprehension,Understand
"“The efficient market hypothesis (EMH) states it is impossible to consistently outperform an efficient market and the only way an investor can possibly obtain higher returns is by purchasing riskier investments."" Justify the statement. ",Evaluation,Evaluate
Discuss TWO (2) key differences between stock warrants and stock options. ,Comprehension,Understand
"Explain the trading behavior of hedger, speculator and arbitrageur.",Comprehension,Understand
Determine the intrinsic value of KMK Corporation's common stock. ,Application,Apply
"Suggest your recommendation on the investment of KMK Corporation's common stock, if the stock price is traded at $25 currently. ",Synthesis,Create
Explain why contango and backwardation happen in the commodity market. ,Comprehension,Understand
A bond fund manager decided to allocate certain percentage of the portfolio in foreign bond market to improve the reward-to-risk ratio. Briefly explain THREE (3) specific risks related to investing in international bond market. ,Comprehension,Understand
Determine the Macaulay duration and estimate the bond price if the yield increases by 100 basis points. ,Application,Apply
Daniel Kahneman and Amos Tversky believe that many stock investors are far from fully rational. Explain FOUR (4) common factors that create irrational market behavior. ,Comprehension,Understand
Discuss the potential profit and loss for the long straddle. ,Comprehension,Understand
"""Instead of focusing only on investing in local market, some investors also invest in foreign market"". Justify above statement by providing FOUR (4) benefits of investing in foreign market. ",Evaluation,Evaluate
"""Portfolio management strategies are different based on the investor's risk preferences and expected return"". Based on above statement, explain TWO (2) major portfolio management strategies. ",Comprehension,Understand
"Discuss in detail the Sharpe, Treynor, and Jensen measures of portfolio performance evaluation, by identifying the situations in which each measure is the most appropriate measure. ",Application,Apply
"""Investment strategies used by the investors of futures and forward markets help to maintain market efficiency"". Based on the above statement, differentiate THREE (3) main investment strategies used by futures and forward markets' investors. ",Analysis,Analyze
Provide arguments on how these investment strategies help in maintaining market efficiency. ,Comprehension,Understand
Describe characteristics and importance of secondary market. ,Comprehension,Understand
Discuss FOUR (4) reasons why Capital Asset Pricing Model (CAPM) is not the best model to estimate returns. ,Comprehension,Understand
"“Instead of focusing only on investing in local market, some investors also invest in foreign market”.  Justify above statement by providing FOUR (4) benefits of investing in foreign market. ",Evaluation,Evaluate
Discuss in detail the THREE (3) major asset allocation strategies in managing portfolio. ,Comprehension,Understand
"According to many researchers, market inefficiencies do exist in most of the stock markets in the world and also known as market anomalies. This situation is contradicted to market efficiency hypothesis. Describe SIX (6) market inefficiencies that commonly happen in the stock markets. ",Comprehension,Understand
Discuss FOUR (4) risks involved in trading US-dollar denominated crude palm oil futures contract (FUPO). ,Comprehension,Understand
Define and explain reinvestment risk with an example. ,Comprehension,Understand
Define Put-Call Parity and express it in equation. ,Comprehension,Understand
Audit committee is responsible to implement and support the monitoring function of the board of directors. Develop a list of best practices for audit committee meeting. ,Synthesis,Create
Nomination committee plays a crucial role in ensuring the continuity of the board of directors into the future. Analyse the functions of nomination committee in the context of corporate governance. ,Analysis,Analyze
Majority shareholders may be opportunistic at the expense of minority  shareholders due to their controlling stake in the company. Explain majority agency problem in the context of corporate governance. ,Comprehension,Understand
Shareholder activism is an important governance mechanism because this is how minority shareholders exercise and enforce their rights. Comment on the effectiveness of shareholder activism. ,Evaluation,Evaluate
There are several corporate governance tools available for institutional shareholders activism. Differentiate shareholder resolution and proxy voting,Analysis,Analyze
Malaysian Code on Corporate Governance (2012) stipulates that there should  not be any domination of power by any individual in the board. Responsibilities of the CEO and the Chairperson must be clearly defined and separated in order to ensure a balance of power and authority. Evaluate the advantages and disadvantages of CEO duality.,Evaluation,Evaluate
"Company directors remain the most important group of people who monitor 
and control the company on behalf of the shareholders. Explain the SIX (6) roles of company directors.",Comprehension,Understand
Independent Non-Executive Directors (INEDs) play crucial roles in the  assurance of effective corporate governance of public listed companies. Provide an assessment on the contributions of INEDs in promoting effective corporate governance. ,Comprehension,Understand
"Being outside directors, Independent Non-Executive Directors (INEDs) do not work in the company on a daily basis. Their hands are tied due to the nature of their positions. Provide an assessment on the limitations of INEDs in the context of corporate governance ",Comprehension,Understand
"Internal control system is among the most prominent monitoring mechanisms in promoting effective corporate governance. Assuming you are the manager of purchasing department, provide TWELVE (12) recommendations on how to prevent staffs from making personal gains from their positions.",Synthesis,Create
"One of the biggest challenges in corporate governance is to deal with manipulation of accounting profits. Propose NINE (9) suggestions to the Malaysian regulatory bodies on how to prevent manipulation of accounts. Your recommendations have to be new and must not overlap with the existing Malaysian laws, guidelines and systems. ",Synthesis,Create
"Company director can be removed by the shareholders during general meetings. However, the office of a director can become vacant under certain circumstances. Discuss FOUR (4) criteria for vacation of office.",Comprehension,Understand
"Director independence is a pivotal element of corporate governance. Illustrate the requirements of ""Persons Connected with Directors"" as stipulated under Companies Act 2016 Section 197(1). ",Comprehension,Understand
"Related party transaction is a transaction entered into by a PLC or its subsidiaries, which involved the interest of the related party. Justify the reasons for disclosure of related party transaction. ",Evaluation,Evaluate
Short term and long term incentives have their own merits in promoting corporate performance. Compare and contrast the problems associated with both short term and long term incentives. ,Analysis,Analyze
The Higgs Report (2003) is among the first report that discusses the importance of Senior Independent Non-Executive Director (Senior INED). Analyse the rationales of having Senior INED in a company. ,Analysis,Analyze
Companies must take reasonable steps to ensure that their investors enjoy equal access to material information. Briefly describe SIX (6) corporate disclosure policies under Main Market Listing Requirements (MMLR). ,Knowledge,Remember
The scope of institutional shareholder activism includes attempts made to bring about changes in a company's behavior for adoption of good governance practices. Differentiate shareholder resolution and proxy voting as the two major tools for institutional shareholder to promote corporate governance. ,Analysis,Analyze
The independence of external auditors is extremely critical due to their roles in providing true and fair view on a company financial position. Develop THREE (3) safeguards to reduce the threats on external auditors' independence. ,Synthesis,Create
Managing and engaging stakeholders have gained important grounds in corporate decision making. Provide your justifications for companies to adopt stakeholder model. ,Comprehension,Understand
There is always an appeal for institutional shareholders to assume an active role in corporate governance. Create a list of key recommendations for institutional shareholders activism based on Myners Report (1995).,Synthesis,Create
Malaysian Code on Corporate Governance (MCCG 2017) encourages Board of Directors to improve shareholders' participations in decision making. Provide recommendations that will lead to more constructive use of Annual General Meeting (AGM). ,Synthesis,Create
Institutional shareholders do not always fare better than the minority shareholders in promoting shareholder activism. Assess the impediments of institutional shareholder activism. ,Evaluation,Evaluate
Criticize the issues in Principal – Agent Theory.,Analysis,Analyze
State and discuss the approach as prescribed in Malaysian Code on Corporate Governance (MCCG) 2017. ,Comprehension,Understand
"List FIVE (5) suggestions on how Malaysian public listed company director in Malaysia can perform  'Duty to use Reasonable Care, Skill & Diligence'. ",Knowledge,Remember
State 'corporate governance' definition as mentioned in Cadbury Report (1992). Explain Malaysian Code on Corporate Governance (MCCG) 2017 “corporate governance' definition in details. ,Comprehension,Understand
Suggest FIVE (5) actions that Public Mutual Berhad (PMB) can consider in championing the institutional shareholder activism. ,Synthesis,Create
Explain the criteria to be a substantial shareholder in Malaysia. Illustrate what and when a substantial shareholder of a listed company need to comply when he/she holds the directorship in it. ,Evaluation,Evaluate
Highlight the important issues discussed in Greenbury Report 1995. ,Comprehension,Understand
Evaluate the characteristics of the board in a two-tier board structure. ,Evaluation,Evaluate
Identify FIVE (5) conditions that one needs to meet in order to be an independent director in Malaysian public listed company (PLC).,Knowledge,Remember
Discuss the components that are integral to the internal control framework in a public listed company. ,Comprehension,Understand
Construct an executive remuneration package using the remuneration framework as a guide. ,Application,Apply
Provide justifications as to why integrity and reliability is important in a company's annual report and accounts (ARAS) from corporate governance point of view.,Evaluation,Evaluate
"The internet has been considered as a low cost option for selling products and services. From a firm's perspective, explain FOUR (4) factors that add to the cost of doing business on the internet. ",Comprehension,Understand
“Firms can use existing brand names or create new brands on the internet”. Evaluate on the above statement. ,Evaluation,Evaluate
"Discuss the level of trust consumers place in digital media, and how that trust helps or hinders e-marketers. ",Comprehension,Understand
"Discuss the role of an infomediary in the online distribution system and evaluate the benefits of this type of distribution system to the consumer, infomediary and advertiser. ",Evaluation,Evaluate
"Search engines are key means of attracting traffic to websites. As a new marketing executive with Munchy's Malaysia, recommend THREE (3) tactics used in search engine marketing (SEM). ",Synthesis,Create
"Discuss the adoption issues surrounding Facebook and internet, as well as their implications for e-marketers. ",Comprehension,Understand
Define social commerce and discuss its advantages for e-marketers.,Comprehension,Understand
Information technology can be expensive. Identify and explain FIVE (5) factors that put upward pressure on internet pricing for online retailer. ,Comprehension,Understand
"""Firms can use existing brand names or create new brands on the internet"". Evaluate the above statement. ",Evaluation,Evaluate
"Media planners want both effective and efficient media buys. In your role as a new media planner of a digital marketing agency, explain how would you know you have made an effective advertising buy over the internet. ",Comprehension,Understand
The internet increases customer benefits in many ways that have revolutionised marketing practices. Discuss with examples THREE (3) ways in which internet increases customer benefits from products offered online.,Comprehension,Understand
"CRM technology helps companies to collect information about consumer behaviour, conversations and characteristics. As a new digital marketing manager with an online retailer, suggest FIVE (5) ways how you can collect data and push customised information to customers. ",Synthesis,Create
Market research firms and product review sites are examples of infomediary. Discuss the role and benefits of an infomediary model in the online distribution system. ,Comprehension,Understand
E-mail marketing has evolved rapidly alongside the technological growth of the 21st century. Discuss FIVE (5) reasons why e-mail marketing is still a growth area in digital marketing. ,Comprehension,Understand
The 'creators' and critics' are the most desired social segments. Explain how social media marketers are able to increase these segments' level of involvement in the social media. ,Comprehension,Understand
The internet is ideal for gathering people from all corners of the globe into communities with similar interests and tasks. Recommend THREE (3) ways that can be used to target online communities. ,Synthesis,Create
An important step in Search Engine Optimization (SEO) is to identify relevant keywords for your website. Suggest THREE (3) offline keyword research methods and TWO (2) online keyword research methods in your keyword research efforts. ,Synthesis,Create
