QUESTION,BT LEVEL
Can you discriminate the difference parts . . . ? ,Analysis
Compare and contrast the two items and produce a summary of their similarities and differences,Analysis
What would you cite to defend the actions . . . ? ,Evaluation
List the data members,Knowledge
Design a new monetary system or an experiment for establishing.,Synthesis
What do you recall ...?,Knowledge
"In your own words, tell what the story is about.",Comprehension
Justify the object oriented programming concept,Evaluation
Write a poem about the story.,Synthesis
"Write a program to calculate the SQRT for Array elements, you may use the Math class function (sqrt), the Array should include 5 Integer elements. The output should be the array elements along with their SQRT value.",Synthesis
Judge the value of... What do you think about...?,Evaluation
What criteria would you use to evaluate if your answer is correct?,Evaluation
Define Inheritance concept,Knowledge
Recall four facts from the story,Knowledge
Propose a set of alternatives for reducing dependence on fossil fuels that address both economic and environmental concerns.,Synthesis
Construct an alternative way to ...,Synthesis
Write a C++ statement to declare a variable of type musicType name MyTune.,Application
Devise a different way of using X,Synthesis
Describe how interest rates affect the economy,Comprehension
Write a JAVA program to show the Overloading concept,Synthesis
How can you categorize ____ according to...?,Analysis
Can you justify the decisions you have made ? ,Evaluation
Explain why the story has the title that it does.,Comprehension
Memorize and recall the periodic table,Knowledge
Write about your feelings in relation to...,Synthesis
Choose the best statements that apply ...,Application
Identify the key points in the text ,Comprehension
Explain what is meant.,Comprehension
Write a journal from the point of view of mountaineer.,Synthesis
What evidence can you find to suggest that people should be regarded as the most important resource of an organisation?,Analysis
List the fractions you know and can show….,Knowledge
How can you differentiate between...?,Analysis
Create several different strategies to solve a mathematical problem. ,Synthesis
How can you describe _____________?,Comprehension
"Rewrite the story briefly, but change someone or something in it. (For example, substitute a dog for a wolf in The Three Little Pigs).",Synthesis
Explain how the heart is like a pump.,Comprehension
Write 5 new titles for the story that would give a good idea of what it was about,Synthesis
List two local variables in the main function,Knowledge
Discriminate the pros and cons of ____.,Analysis
List the attributes of the following shape.,Knowledge
Judge the validity of arguments for and against astrology,Evaluation
List two reference parameters in the setHour function,Knowledge
Draw a diagram to show the memory configuration after the following statements .... ,Analysis
How can you explain what is meant ...?,Comprehension
Outline how class ArrayList could be implemented using an array,Evaluation
Develop a set of criteria for distinguishing between a good and bad example of this.,Analysis
Rate the following recommendations and set the priority _____.,Evaluation
Can you assess the value or importance of . . . ?,Evaluation
Identify three mistakes from the passage and correct them.,Comprehension
Trace the value of alpha after the following code executes. int alpha[5];int j;alpha[0] = 5;for (j = 1; j < 5; j++){if(j % 2 == 0)alpha[j] = alpha[j – 1] + 2;else alpha[j] = alpha[j – 1] + 3;},Analysis
Sketch a diagram which shows these fractions or take photographs of the fractions. ,Application
Write the definition of displaySize() method for each class,Application
Write a textbook about this topic for others.,Application
Define Method in JAVA.,Knowledge
What data was used to evaluate ____________?,Evaluation
Make a list of the main events of the story.,Knowledge
Explain what is happening...,Comprehension
Explain in one sentence what the method incFromN does,Comprehension
Can you defend your position about ... ?,Evaluation
Name three 19th-century women English authors.,Knowledge
"Demonstrate and illustrate measures of central tendency and dispersion, write a journal entry. ",Application
Write what you might have done.,Application
Analyze a distinction. State the point of view of . . .,Analysis
Predict what would happen if ...,Application
Analyze the following questionnaire. ,Analysis
How can you distinguish the different parts of_____?,Analysis
"Prepare a case to present, and evaluate your view about ...",Evaluation
Name all the characters in the story.,Knowledge
Can you propose a model that would change . . . ?,Synthesis
Define morphology,Knowledge
"Trace the contents of matrix from the following statements int matrix[3][2];int j, k;for (j = 0; j < 3; j++)for (k =h 0; k < 2; k++)matrik[j][k] = j + k;",Analysis
Justify the concept of inheritance and give the sample of code to illustrate your answer.,Evaluation
Can you develop method to handle the following case . . . ? ,Synthesis
Label the parts of the diagram,Knowledge
Write another ending to the story that is different from the author’s ending.,Synthesis
